2025-09-19 13:57:26 startup archives unpack
2025-09-19 13:57:26 install libdbus-1-3:amd64 <none> 1.14.10-1~deb12u1
2025-09-19 13:57:26 status triggers-pending libc-bin:amd64 2.36-9+deb12u13
2025-09-19 13:57:26 status half-installed libdbus-1-3:amd64 1.14.10-1~deb12u1
2025-09-19 13:57:26 status unpacked libdbus-1-3:amd64 1.14.10-1~deb12u1
2025-09-19 13:57:26 install dbus-bin:amd64 <none> 1.14.10-1~deb12u1
2025-09-19 13:57:26 status half-installed dbus-bin:amd64 1.14.10-1~deb12u1
2025-09-19 13:57:26 status unpacked dbus-bin:amd64 1.14.10-1~deb12u1
2025-09-19 13:57:26 install dbus-session-bus-common:all <none> 1.14.10-1~deb12u1
2025-09-19 13:57:26 status half-installed dbus-session-bus-common:all 1.14.10-1~deb12u1
2025-09-19 13:57:26 status unpacked dbus-session-bus-common:all 1.14.10-1~deb12u1
2025-09-19 13:57:26 install libapparmor1:amd64 <none> 3.0.8-3
2025-09-19 13:57:26 status half-installed libapparmor1:amd64 3.0.8-3
2025-09-19 13:57:26 status unpacked libapparmor1:amd64 3.0.8-3
2025-09-19 13:57:26 install libexpat1:amd64 <none> 2.5.0-1+deb12u2
2025-09-19 13:57:26 status half-installed libexpat1:amd64 2.5.0-1+deb12u2
2025-09-19 13:57:26 status unpacked libexpat1:amd64 2.5.0-1+deb12u2
2025-09-19 13:57:26 install dbus-daemon:amd64 <none> 1.14.10-1~deb12u1
2025-09-19 13:57:26 status half-installed dbus-daemon:amd64 1.14.10-1~deb12u1
2025-09-19 13:57:26 status unpacked dbus-daemon:amd64 1.14.10-1~deb12u1
2025-09-19 13:57:26 install dbus-system-bus-common:all <none> 1.14.10-1~deb12u1
2025-09-19 13:57:26 status half-installed dbus-system-bus-common:all 1.14.10-1~deb12u1
2025-09-19 13:57:26 status unpacked dbus-system-bus-common:all 1.14.10-1~deb12u1
2025-09-19 13:57:26 install dbus:amd64 <none> 1.14.10-1~deb12u1
2025-09-19 13:57:26 status half-installed dbus:amd64 1.14.10-1~deb12u1
2025-09-19 13:57:26 status unpacked dbus:amd64 1.14.10-1~deb12u1
2025-09-19 13:57:26 install perl-modules-5.36:all <none> 5.36.0-7+deb12u3
2025-09-19 13:57:26 status half-installed perl-modules-5.36:all 5.36.0-7+deb12u3
2025-09-19 13:57:27 status unpacked perl-modules-5.36:all 5.36.0-7+deb12u3
2025-09-19 13:57:27 install libgdbm6:amd64 <none> 1.23-3
2025-09-19 13:57:27 status half-installed libgdbm6:amd64 1.23-3
2025-09-19 13:57:27 status unpacked libgdbm6:amd64 1.23-3
2025-09-19 13:57:27 install libgdbm-compat4:amd64 <none> 1.23-3
2025-09-19 13:57:27 status half-installed libgdbm-compat4:amd64 1.23-3
2025-09-19 13:57:27 status unpacked libgdbm-compat4:amd64 1.23-3
2025-09-19 13:57:27 install libperl5.36:amd64 <none> 5.36.0-7+deb12u3
2025-09-19 13:57:27 status half-installed libperl5.36:amd64 5.36.0-7+deb12u3
2025-09-19 13:57:27 status unpacked libperl5.36:amd64 5.36.0-7+deb12u3
2025-09-19 13:57:27 install perl:amd64 <none> 5.36.0-7+deb12u3
2025-09-19 13:57:27 status half-installed perl:amd64 5.36.0-7+deb12u3
2025-09-19 13:57:27 status unpacked perl:amd64 5.36.0-7+deb12u3
2025-09-19 13:57:27 install netbase:all <none> 6.4
2025-09-19 13:57:27 status half-installed netbase:all 6.4
2025-09-19 13:57:27 status unpacked netbase:all 6.4
2025-09-19 13:57:27 install libmnl0:amd64 <none> 1.0.4-3
2025-09-19 13:57:27 status half-installed libmnl0:amd64 1.0.4-3
2025-09-19 13:57:27 status unpacked libmnl0:amd64 1.0.4-3
2025-09-19 13:57:27 install libnfnetlink0:amd64 <none> 1.0.2-2
2025-09-19 13:57:27 status half-installed libnfnetlink0:amd64 1.0.2-2
2025-09-19 13:57:27 status unpacked libnfnetlink0:amd64 1.0.2-2
2025-09-19 13:57:28 install libnetfilter-conntrack3:amd64 <none> 1.0.9-3
2025-09-19 13:57:28 status half-installed libnetfilter-conntrack3:amd64 1.0.9-3
2025-09-19 13:57:28 status unpacked libnetfilter-conntrack3:amd64 1.0.9-3
2025-09-19 13:57:28 install libjansson4:amd64 <none> 2.14-2
2025-09-19 13:57:28 status half-installed libjansson4:amd64 2.14-2
2025-09-19 13:57:28 status unpacked libjansson4:amd64 2.14-2
2025-09-19 13:57:28 install libnftnl11:amd64 <none> 1.2.4-2
2025-09-19 13:57:28 status half-installed libnftnl11:amd64 1.2.4-2
2025-09-19 13:57:28 status unpacked libnftnl11:amd64 1.2.4-2
2025-09-19 13:57:28 install libxtables12:amd64 <none> 1.8.9-2
2025-09-19 13:57:28 status half-installed libxtables12:amd64 1.8.9-2
2025-09-19 13:57:28 status unpacked libxtables12:amd64 1.8.9-2
2025-09-19 13:57:28 install libnftables1:amd64 <none> 1.0.6-2+deb12u2
2025-09-19 13:57:28 status half-installed libnftables1:amd64 1.0.6-2+deb12u2
2025-09-19 13:57:28 status unpacked libnftables1:amd64 1.0.6-2+deb12u2
2025-09-19 13:57:28 install dnsmasq-base:amd64 <none> 2.90-4~deb12u1
2025-09-19 13:57:28 status half-installed dnsmasq-base:amd64 2.90-4~deb12u1
2025-09-19 13:57:28 status unpacked dnsmasq-base:amd64 2.90-4~deb12u1
2025-09-19 13:57:28 install runit-helper:all <none> 2.15.2
2025-09-19 13:57:28 status half-installed runit-helper:all 2.15.2
2025-09-19 13:57:28 status unpacked runit-helper:all 2.15.2
2025-09-19 13:57:28 install dnsmasq:all <none> 2.90-4~deb12u1
2025-09-19 13:57:28 status half-installed dnsmasq:all 2.90-4~deb12u1
2025-09-19 13:57:28 status unpacked dnsmasq:all 2.90-4~deb12u1
2025-09-19 13:57:28 install libssl3:amd64 <none> 3.0.17-1~deb12u2
2025-09-19 13:57:28 status half-installed libssl3:amd64 3.0.17-1~deb12u2
